word,Length,Arousal.M,Arousal.SD,Arousal.N,Valence.M,Valence.SD,Valence.N,Dominance.M,Dominance.SD,Dominance.N,Concreteness.M,Concreteness.SD,Concreteness.N,Imageability.M,Imageability.SD,Imageability.N,Familiarity.M,Familiarity.SD,Familiarity.N,AoA.M,AoA.SD,AoA.N,Size.M,Size.SD,Size.N,Gender.M,Gender.SD,Gender.N
coach (bus),5,3.03,1.696,33,5.286,1.343,35,4.182,1.381,33,6.735,0.559,34,6.457,1.024,35,5.273,1.895,33,3.743,1.537,35,4.697,1.66,33,5.088,1.011,34
coach (trainer),5,4.906,1.646,32,6,1.317,30,4.688,2.128,32,5.807,1.09,31,5.697,1,33,5.406,1.433,32,4.314,1.368,35,4.177,1.562,34,5.235,1.165,34
coast (beach),5,5.576,2.606,33,7.281,1.419,32,5.424,1.907,33,6.515,0.821,33,6.813,0.464,32,6.161,1.167,31,3.606,1.153,33,5.667,1.551,33,3.061,0.919,33
coast (glide),5,4.424,1.558,33,5.697,1.087,33,5.242,1.349,33,4.061,1.613,33,4.594,1.711,32,4.394,1.89,33,5.406,1.027,32,4.484,1.292,31,3.758,0.954,33
coat (cover),4,3.735,1.771,34,5.212,0.729,33,5.629,1.098,35,5.294,1.654,34,5.629,1.692,35,6,1.255,33,3.229,1.551,35,3.121,1.32,33,3.941,1.349,34
coat (jacket),4,3.563,1.87,32,5.735,1.12,34,5.656,1.688,32,6.618,0.728,34,6.758,0.552,33,6.719,0.572,32,2.441,0.881,34,3.794,1.641,34,4.206,1.41,34
cock (bird),4,3.618,2.142,34,5.343,1.068,35,5.324,1.47,34,6.4,0.869,35,6.212,0.977,33,3.2,1.786,35,4.571,1.678,35,3,1.265,35,5.559,1.397,34
cock (dick),4,6.059,2.182,34,5.059,1.893,34,5.636,1.611,33,6.114,1.617,35,6.182,1.403,33,5.559,1.557,34,6.286,0.848,35,4,1.352,35,6.909,0.288,33
cock (tilt),4,4.206,1.952,34,4.543,1.203,35,5.286,1.86,35,3.941,1.552,34,4.029,1.715,35,3.636,1.738,33,5.471,1.398,34,3.029,0.971,35,5.257,1.051,35
coke (coal),4,3.433,2.171,30,4.844,1.253,32,5.29,1.419,31,5.563,1.54,32,4.939,1.906,33,2.788,2.056,33,5.788,1.552,33,3.29,1.763,31,4.97,1,33
coke (cocaine),4,4.588,2.439,34,2.941,1.846,34,4.088,2.049,34,6.412,1.032,34,6.088,1.38,34,5.152,1.672,33,6.147,1.033,34,3.971,1.978,34,4.735,1.146,34
coke (cola),4,5.114,2.302,35,5.324,1.951,34,5.152,1.861,33,6.758,0.494,33,6.758,0.889,33,6.563,0.827,32,2.853,0.912,34,2.912,1.56,34,4.343,1.194,35
cold (illness),4,2.714,1.666,35,2.371,0.897,35,2.771,1.495,35,5.286,1.343,35,5.057,1.413,35,6.324,1.206,34,2.324,0.962,34,3.571,1.316,35,3.971,1.014,34
cold (temperature),4,4.818,2.467,33,3.333,1.47,33,4.485,2.062,33,4.424,1.634,33,4.242,2.031,33,6.697,0.758,33,1.909,1.19,33,4.061,1.774,33,4.515,0.989,33
complex (behaviour),7,5.206,1.982,34,4.265,1.335,34,5.324,1.89,34,2.206,1.586,34,2.294,1.563,34,4.543,1.842,35,5.529,1.242,34,5.353,1.234,34,3.824,1.485,34
complex (buildings),7,3.514,2.075,35,5.029,1.014,34,5.324,1.47,34,5.714,1.83,35,5.143,2.016,35,4.5,1.883,34,6.057,0.984,35,5.588,1.574,34,5.121,1.365,33
complex (difficult),7,5.394,1.858,33,3.813,1.648,32,4.457,2.322,35,3.032,1.732,31,2.788,1.533,33,5.97,1,33,5.382,1.284,34,5.235,1.554,34,4.5,1.266,34
content (contents),7,3.8,1.618,35,5.486,1.025,35,5.294,1.446,34,4.441,1.63,34,3.829,1.949,35,5.382,1.766,34,4.647,1.303,34,4.5,1.356,34,4.086,0.906,35
content (happy),7,6.548,1.72,31,8.156,1.003,32,7.267,1.459,30,2.849,1.635,33,4.667,1.752,33,6.267,1.031,30,4.697,1.547,33,5.438,1.391,32,3.226,1.263,31
contract (agreement),8,3.455,2.076,33,5.029,1.207,35,4.735,2.524,34,4.667,1.933,33,4.771,1.587,35,5.469,1.62,32,5.286,1.058,35,4.735,1.335,34,4.576,1.074,33
contract (catch),8,4.333,2.238,33,3.688,1.911,32,3.618,2.029,34,3.606,1.89,33,3.086,1.628,35,4.394,1.874,33,5.706,1.273,34,3.818,1.29,33,4.424,0.954,33
cool (popular),4,5.727,1.83,33,6.719,1.7,32,6.375,1.965,32,2.839,1.608,31,4.063,1.784,32,5.844,1.439,32,3.647,1.258,34,4.486,1.538,35,4.177,1.15,34
cool (temperature),4,3.353,1.813,34,4.412,1.309,34,4.333,1.837,33,4.364,1.738,33,4.029,1.92,35,6.303,0.834,33,2.829,0.91,35,3.441,1.31,34,3.882,0.932,34
corn (foot),4,3.065,2.169,31,2.727,1.052,33,3.788,1.365,33,6,1.495,34,5.531,1.695,32,3.382,2.058,34,5.971,1.15,34,1.727,0.789,33,3.788,0.913,33
corn (maize),4,3.086,2.13,35,5.629,1.123,35,5.4,1.292,35,6.429,1.022,35,6.086,1.251,35,5.265,1.668,34,3.257,1.273,35,2.8,1.833,35,3.971,0.774,35
corner (edge),6,3.441,2.199,34,4.353,0.997,34,5.294,1.741,34,5.941,1.454,34,6.235,0.877,34,6.147,0.974,34,2.559,1.168,34,2.657,1.473,35,4.364,0.771,33
corner (surround),6,4.121,2.041,33,4.182,1.266,33,4.177,1.917,34,4.029,1.465,34,4.735,1.521,34,5.091,1.747,33,3.824,1.382,34,3.657,1.655,35,4.313,0.726,32
couch (express),5,3.63,1.829,27,5.074,1.086,27,5.167,1.067,30,4.304,1.898,23,4.167,2.095,24,2.939,2.059,33,4.741,1.669,27,3.5,1.354,24,4.296,0.711,27
couch (sofa),5,4.091,1.694,33,5.886,1.237,35,5.147,1.417,34,6.714,0.74,35,6.706,0.62,34,6.121,1.122,33,2.229,0.865,35,4.171,1.298,35,4.265,0.779,34
count (numbers),5,3.029,1.647,35,4.941,0.906,34,5.735,1.975,34,3.629,1.64,35,3.235,1.733,34,5.97,1.337,33,2.257,1.203,35,3.882,1.529,34,4.088,0.818,34
count (title),5,3.242,1.826,33,5,1.206,33,5.242,1.859,33,4.433,1.838,30,4.032,2.04,31,3.697,2.096,33,5.029,1.562,34,3.971,1.543,34,5.656,1.314,32
counter (keeping account),7,3.086,1.991,35,5.056,1.649,36,5.059,1.909,34,4.583,1.876,36,3.286,2.105,35,4.088,2.161,34,5.278,1.758,36,3.8,1.283,35,4.143,1.376,35
counter (oppose),7,4.515,2.162,33,3.656,1.135,32,5.906,1.877,32,3.212,1.343,33,2.938,1.6,32,4.727,1.693,33,5.333,1.385,33,4.576,1.181,33,4.424,1.303,33
counter (worktop),7,3.5,1.819,34,5.394,0.983,33,5.088,1.245,34,6.576,0.818,33,6.265,1.12,34,5.969,1.571,32,3.647,1.326,34,3.849,1.395,33,4.471,1.311,34
couple (a few),6,4.059,1.731,34,5.229,0.68,35,5.229,1.244,35,4.314,1.801,35,4.886,2.025,35,6.118,1.409,34,2.771,0.796,35,2.457,0.996,35,3.886,0.708,35
couple (romantic pair),6,6.382,1.956,34,7.515,1.598,33,5.471,1.835,34,5.364,1.685,33,6.235,1.086,34,6.353,0.762,34,4.324,1.277,34,4.5,1.558,34,3.029,0.954,34
course (class),6,4.194,2.07,31,5.469,1.457,32,4.485,2.091,33,4.688,2.007,32,4.226,1.773,31,6.233,1.174,30,5.273,1.238,33,4.419,1.101,31,3.906,0.843,32
course (path),6,4.294,2.23,34,5.943,1.17,35,5.853,2.06,34,4.364,1.839,33,4.914,1.991,35,4.971,1.485,34,4.886,1.166,35,4.514,1.36,35,4.143,0.639,35
court (law),5,3.97,2.222,33,4.088,1.634,34,3.688,2.324,32,5.667,1.363,33,5.606,1.455,33,5.546,1.258,33,4.636,1.322,33,5.471,1.218,34,4.909,1.055,33
court (sport),5,3.788,2.28,33,5.469,1.172,32,5.636,1.856,33,5.686,1.469,35,5.788,1.249,33,4.882,1.967,34,4.177,1.382,34,4.219,1.634,32,4.886,1.115,35
court (woo),5,6.1,1.886,30,6.484,1.584,31,5.448,1.61,29,3.767,1.383,30,4.4,1.541,30,3.813,1.991,32,5.793,0.961,29,4.633,0.983,30,3.938,1.6,32
cowboy (reckless),6,5.667,2.04,33,4.065,1.664,31,5.75,2.151,32,4.344,1.831,32,4.667,1.868,30,3.471,2.033,34,5.177,1.706,34,4.29,1.169,31,5.97,0.834,33
cowboy (wild west),6,5.364,2.144,33,5.743,1.179,35,5.912,1.821,34,5.618,1.553,34,6.6,0.725,35,5.371,1.692,35,2.943,1.17,35,4.5,1.399,34,6.618,0.543,34
crab (cranky person),4,3.412,2.045,34,2.412,1.061,34,4.618,2.015,34,3.677,1.604,34,4.794,1.623,34,3.343,1.881,35,5.061,1.669,33,4.171,1.363,35,4.294,1.362,34
crab (shellfish),4,3.242,2.189,33,5.125,1.244,32,5.485,1.417,33,6.576,0.922,33,6.606,0.851,33,5.594,1.852,32,2.667,1.035,33,2.594,1.142,32,4.667,0.876,33
craft (skill),5,4.794,1.952,34,6.765,1.238,34,6.152,1.54,33,4.546,1.578,33,4.031,1.649,32,4.788,1.552,33,4.371,1.475,35,4.576,1.207,33,4.546,1.305,33
craft (vessel),5,3.515,1.861,33,5.294,0.956,34,5.212,1.409,33,6.057,1.372,35,5.706,1.824,34,3.939,1.969,33,4.6,1.398,35,4.971,1.562,34,5,1.128,33
crank (grouch),5,4.345,1.935,29,2.69,1.206,29,5.065,1.759,31,3.552,1.61,29,4,1.965,29,2.939,1.791,33,5.065,1.684,31,3.833,1.213,30,5.452,1.103,31
crank (winch),5,3.71,1.726,31,4.344,0.814,32,5.167,1.241,30,5.091,1.564,33,4.7,1.829,30,3.471,2.061,34,5.909,0.933,33,3.613,1.336,31,5.031,1.334,32
credit (money),6,5.441,2.239,34,6.6,1.642,35,5.485,2.231,33,4.667,1.717,33,4.412,1.784,34,5.515,1.54,33,5.177,1.599,34,4.636,1.389,33,4.546,0.891,33
credit (praise),6,5.371,2.343,35,7.677,1.585,34,6.059,1.765,34,3.618,1.698,34,3.094,1.588,32,5,1.698,34,4.677,1.104,34,4.581,1.071,31,3.559,0.976,34
cricket (insect),7,2.971,1.917,34,4.571,1.178,35,5.118,1.795,34,6.514,1.025,35,6.6,0.901,35,4.706,1.618,34,3.8,1.238,35,1.879,1.552,33,4.657,0.826,35
cricket (sport),7,2.794,1.795,34,5.242,1.326,33,5,1.414,33,6.412,0.691,34,6.559,0.65,34,5.273,1.746,33,3.735,1.093,34,4.059,1.494,34,5.667,0.974,33
crisp (chip),5,4.406,2.262,32,5.636,1.251,33,5.394,1.301,33,6.531,0.661,32,6.485,1.131,33,6.031,1.845,32,2.636,1.494,33,2.212,1.32,33,4.242,0.889,33
crisp (sharp),5,5.914,2.089,35,5.882,1.132,34,6.114,1.368,35,4,1.882,35,4.514,1.73,35,4.714,1.683,35,4.743,1.25,35,3.257,1.227,35,4.229,1.098,35
crook (criminal),5,5.529,2.145,34,1.912,0.887,34,3.941,1.846,34,5.818,1.445,33,6.121,1.066,33,5.029,2.051,34,3.853,1.309,34,4.394,1.594,33,5.706,0.787,34
crook (stick),5,2.879,1.409,33,4.714,0.943,35,5,1.299,32,5.364,1.573,33,5.267,1.931,30,2.706,1.824,34,4.875,1.728,32,3.265,1.196,34,4.788,0.946,33
cross (an object),5,3.25,1.714,32,4.576,1.436,33,4.849,1.52,33,5.909,1.357,33,5.794,1.711,34,4.853,1.865,34,3.424,1.102,33,2.939,1.65,33,4.063,1.088,32
cross (annoyed),5,4.686,2.175,35,2.794,0.9,34,5.543,1.991,35,3.743,1.61,35,4.686,1.753,35,5.771,1.375,35,2.529,1.118,34,4.314,1.389,35,3.714,1.385,35
cross (offend),5,4.879,2.212,33,2.824,1.042,34,4.546,2.046,33,2.879,0.977,33,2.879,1.493,33,4.529,1.819,34,4.382,1.863,34,4.324,1.049,34,4.75,1.146,32
cross (pass),5,3.424,1.985,33,4.853,0.944,34,5.559,1.439,34,4.571,1.479,35,4.618,1.645,34,4.794,1.677,34,3.824,1.636,34,3.8,1.009,35,4.588,0.878,34
cry (shout),3,5.618,1.879,34,3.143,1.199,35,4.857,2.03,35,4.829,1.521,35,4.813,1.81,32,5.788,1.513,33,2.471,1.144,34,4.559,1.943,34,3.061,0.952,33
cry (weep),3,4.912,2.254,34,2.686,1.389,35,4.257,2.116,35,5.114,1.389,35,6.029,0.91,35,6.147,1.115,34,1.943,0.86,35,4.114,1.669,35,2.677,1.077,34
cues (prompts),4,4.515,1.459,33,4.969,1.075,32,4.118,1.367,34,4.161,1.505,31,3.688,1.758,32,4.546,1.499,33,5.735,1.066,34,3.441,1.459,34,3.788,0.879,33
cues (snooker),4,2.849,1.877,33,5.177,0.617,34,5.424,1.393,33,6.206,1.324,34,6.457,1.024,35,4.629,1.822,35,4.618,1.372,34,2.727,1.562,33,5.559,1.117,34
cut (clip),3,3.788,1.665,33,4.677,1.077,34,5.229,1.551,35,5.03,1.467,33,4.829,1.765,35,4.686,1.848,35,3.471,1.576,34,2.686,1.304,35,4.206,0.719,34
cut (of meat),3,4.061,2.242,33,5.4,1.677,35,5.576,1.436,33,5.75,1.414,32,5.853,1.004,34,4.824,1.839,34,4.667,1.428,33,3.03,1.291,33,5.455,0.856,33
cut (share),3,3.6,2.045,35,5.412,1.375,34,4.576,1.478,33,4.03,1.696,33,3.515,1.844,33,4.588,1.734,34,3.971,1.689,34,3.063,1.029,32,4,0.921,33
cut (wound),3,5.406,2.09,32,2.813,1.21,32,4.226,1.453,31,6,1.031,32,6.156,1.277,32,6.387,0.904,31,2.323,1.028,31,3.452,1.411,31,4.667,0.943,33
date (calendar),4,3.394,2.088,33,5.031,0.305,32,4.941,1.608,34,4.971,1.521,35,5.206,1.53,34,6.406,0.964,32,3.118,1.051,34,3.286,1.83,35,3.529,0.882,34
date (fruit),4,3.657,1.926,35,5.657,1.393,35,5.471,1.613,34,6.029,1.339,34,6,1.372,34,4.781,2.027,32,3.647,1.21,34,2.059,1.162,34,3.171,1.108,35
date (romantic),4,7.156,1.543,32,7.742,0.949,31,5.774,1.773,31,4.406,1.73,32,5.469,1.479,32,6.226,1.069,31,4.061,1.324,33,4.548,1.72,31,2,0.921,33
deal (bargain),4,4.794,2.423,34,6.324,1.64,34,5.912,1.772,34,3.559,1.785,34,3.971,1.562,34,5.853,1.191,34,3.882,1.345,34,4.235,1.554,34,4.971,1.424,34
deal (playing cards),4,4.735,2.119,34,5.677,1.47,34,5.939,2.399,33,5,1.5,32,5.429,1.626,35,5.265,1.421,34,4.286,1.364,35,3.212,1.43,33,5.314,0.785,35
deal (with),4,4.152,1.52,33,5.029,1.317,34,5.909,2.065,33,3.059,1.434,34,2.794,1.728,34,5.758,1.518,33,4.529,1.702,34,4.303,1.058,33,4.177,0.954,34
deck (cards),4,4,1.923,33,5.29,0.923,31,5.5,1.146,32,6.313,0.95,32,6.152,1.077,33,5.758,1.28,33,3.939,1.391,33,2.455,1.305,33,4.875,0.857,32
deck (ship),4,3.971,2.065,34,5.206,0.932,34,5.156,1.563,32,6.441,0.694,34,6.485,0.702,33,5.188,1.861,32,3.618,0.971,34,5.636,1.15,33,5.382,0.841,34
digit (finger),5,3.771,2.085,35,5,0.633,35,5.086,1.556,35,6.086,1.052,35,5.943,1.62,35,4.382,1.863,34,4.571,1.745,35,2.706,1.486,34,4.171,1.134,35
digit (number),5,3.212,1.996,33,5.177,0.452,34,5.382,1.456,34,5.765,1.75,34,6.147,1.286,34,6,1.188,34,3.912,1.56,34,2.941,1.679,34,4.324,0.716,34
digits (fingers),6,4.059,1.781,34,5.229,0.59,35,5.829,1.298,35,6.265,0.98,34,6.559,0.976,34,4.086,1.948,35,4.886,1.43,35,2.559,1.006,34,4.265,1.12,34
digits (numbers),6,3.829,1.964,35,4.971,1.207,35,5.114,1.41,35,5.6,1.534,35,6.114,1.326,35,5.2,1.704,35,3.857,1.552,35,2.8,1.508,35,4.588,0.911,34
dock (deduct),4,3.903,2.22,31,3.424,1.436,33,3.656,1.881,32,3.862,1.717,29,2.364,1.432,33,3.697,1.946,33,5.875,1.111,32,3.781,1.408,32,4.529,0.848,34
dock (ship),4,3.719,2.211,32,5.382,1.237,34,4.636,1.251,33,6.188,1.184,32,6.182,1.359,33,4.813,1.648,32,4.177,1.224,34,5.125,1.85,32,5.371,1.044,35
dope (drugs),4,5.5,2.416,34,2.677,1.429,34,3.618,2.115,34,5.818,1.167,33,5.794,1.278,34,5,1.837,32,6.118,0.867,34,3.97,1.566,33,5.382,1.029,34
dope (idiot),4,3.353,1.696,34,2.543,1.227,35,4.324,1.827,34,3.343,1.413,35,4.061,1.632,33,3.75,2.046,32,5,1.568,35,3.559,1.376,34,4.912,0.919,34
dough (baking),5,4.706,2.243,34,6.206,1.346,34,5.735,1.804,34,6.471,0.776,34,6.206,1.051,34,5.529,1.649,34,3.118,1.345,34,3.059,1.371,34,2.912,1.222,34
dough (money),5,5.485,2.311,33,6.314,1.982,35,5.177,2.268,34,5.857,1.376,35,5.758,1.349,33,3.515,2.047,33,5.212,1.148,33,4.229,1.692,35,5.353,0.762,34
dove (bird),4,4.529,2.239,34,6.686,1.526,35,5.824,1.617,34,6.229,1.071,35,6.429,0.871,35,5.941,1.327,34,3.429,1.077,35,2.629,1.173,35,2.143,0.867,35
dove (dive),4,4.438,2.045,32,4.939,1.013,33,5.625,1.556,32,4.438,1.391,32,5.094,1.508,32,4.433,1.856,30,4.061,1.127,33,3.29,1.197,31,4.219,1.111,32
down (direction),4,3.188,1.648,32,4.147,1.24,34,3.936,1.413,31,4.71,1.708,31,4.469,1.837,32,6.559,0.847,34,2.286,1.578,35,3.469,1.639,32,4.636,0.948,33
down (fur),4,3,1.968,31,4.844,1.228,32,4.909,1.334,33,5.936,1.105,31,5.379,1.448,29,3.563,1.87,32,5.25,1.5,32,3.281,1.441,32,3.412,1.417,34
down (sad),4,3.188,1.845,32,2.75,1.09,32,3.129,1.314,31,2.875,1.083,32,4.849,1.5,33,6.065,1.366,31,3.125,1.431,32,3.968,1.576,31,4.031,0.918,32
draft (breeze),5,3.515,1.925,33,4.788,1.665,33,4.424,1.985,33,4.563,1.694,32,4.546,2.031,33,5.909,1.379,33,3.543,1.25,35,2.697,1.267,33,3.576,1.102,33
draft (first version),5,3.177,1.599,34,5.382,1.029,34,5.618,1.663,34,5.088,1.314,34,4.471,1.576,34,6.121,1.037,33,5.618,1.138,34,3.5,1.144,34,4.147,1.033,34
draw (artistic),4,5.152,2.076,33,6.143,1.125,35,6.029,2.007,35,4.343,1.638,35,5.229,1.605,35,5.879,1.174,33,2.057,0.955,35,4,1.171,35,3.206,0.759,34
draw (attract),4,6.206,1.828,34,6.824,1.294,34,5.971,2.077,35,2.886,1.389,35,3.543,1.713,35,4.875,1.495,32,4.5,1.266,34,4.743,1.104,35,3.343,1.264,35
draw (choose),4,4.514,1.68,35,5.486,0.841,35,5.235,2.184,34,4.114,1.469,35,3.971,1.647,35,4.546,1.794,33,4.057,1.413,35,3.543,1.401,35,3.971,0.91,35
draw (tie),4,3.313,1.59,32,4.909,0.621,33,5.333,1.664,33,4.636,1.514,33,4.188,1.927,32,5.063,1.819,32,4.125,1.536,32,3.091,1.19,33,4.485,1.258,33
dress (formal),5,5.688,1.861,32,6.645,1.404,31,5.625,1.916,32,5.031,1.649,32,5.875,1.409,32,6.125,1.166,32,3.606,1.613,33,3.879,1.2,33,2.375,1.654,32
dress (put on clothes),5,5.265,1.899,34,6.212,1.122,33,6.813,1.446,32,5.147,1.517,34,5.794,1.183,34,6.647,0.536,34,1.971,0.747,34,3.788,1.225,33,2.588,0.878,34
dress (skirt),5,5.788,2.085,33,6,1.069,35,5.2,1.283,35,6.543,0.84,35,6.781,0.695,32,6.344,1.189,32,2.543,1.338,35,3.206,1.132,34,1.529,0.848,34
drill (practice),5,4.324,2.193,34,4.485,1.184,33,3.714,1.814,35,4.286,1.465,35,4.382,1.749,34,4.063,1.999,32,4.882,1.345,34,3.571,1.337,35,5.088,1.011,34
drill (tool),5,3.629,2.03,35,4.943,1.286,35,6.343,2.203,35,6.515,0.821,33,6.543,0.769,35,5.647,1.57,34,3.529,1.194,34,3.441,1.538,34,6,1.014,35
drive (car),5,5.529,2.239,34,5.886,1.282,35,6.514,2.048,35,5.818,1.424,33,6.177,1.224,34,6.438,0.788,32,2.771,1.044,35,4.353,1.234,34,5.029,0.985,34
drive (motivation),5,6.375,2.058,32,7.6,1.151,35,7.303,1.642,33,2.849,1.54,33,3.03,1.507,33,5.758,1.457,33,5.265,1.267,34,5.242,1.28,33,4.588,1.458,34
drop (fall),4,4.469,2.136,32,3.438,1.088,32,3.967,1.169,30,4.813,1.379,32,5.344,1.67,32,5.75,1.581,32,2.839,1.194,31,4.355,1.427,31,4.125,0.696,32
drop (rain),4,3.765,2.073,34,5.086,1.481,35,5.03,1.899,33,5.886,1.368,35,6.5,0.777,34,6.121,1.148,33,2.457,0.84,35,1.471,0.882,34,3.088,0.981,34
duck (bird),4,3.121,2.027,33,5.788,1.008,33,5.031,1.571,32,6.788,0.477,33,6.849,0.359,33,5.719,1.644,32,1.818,0.796,33,2.636,1.226,33,3.697,1.058,33
duck (cricket),4,2.793,1.73,29,4.815,0.611,27,5.148,1.325,27,4,1.805,27,4,2.121,28,2.061,1.434,33,6,1.217,27,3.333,0.943,30,5.419,1.185,31
duck (crouch),4,3.941,2.071,34,4.514,1.105,35,4.636,1.997,33,4.486,1.402,35,4.943,1.866,35,4.629,1.868,35,3.353,1.432,34,2.765,0.941,34,4.706,1.125,34
dummy (idiot),5,3.229,1.838,35,2.143,1.046,35,3.938,1.936,32,3.457,1.441,35,4.788,1.513,33,3.875,1.763,32,3.4,1.438,35,3.303,1.243,33,4.706,1.044,34
dummy (mannequin),5,3.265,1.559,34,4.697,0.937,33,4.636,2.027,33,6.333,1.064,33,6.485,0.744,33,4.781,1.932,32,3.824,1.15,34,3.129,1.184,31,3.235,1.19,34
dummy (nipple),5,4,2.058,34,5.364,1.01,33,4.343,1.492,35,5.688,1.402,32,5.824,1.706,34,3.771,2.153,35,2.758,1.985,33,2.152,1.209,33,2.559,1.063,34
even (odd),4,3.265,1.99,34,5.882,1.323,34,5.629,1.774,35,3.265,1.703,34,3.314,2.011,35,5.515,1.635,33,2.971,1.159,35,3.588,1.497,34,3.441,1.217,34
even (still),4,3.486,1.519,35,5.063,0.747,32,5.333,1.385,33,3.69,1.086,29,3.441,1.666,34,4.968,1.555,31,4.177,1.543,34,3.371,1.173,35,3.794,0.832,34
execute (accomplish),7,5.571,2.284,35,7.086,1.873,35,6.706,2.468,34,3.5,1.77,34,3,1.531,35,4.086,1.857,35,5.943,1.068,35,5.424,1.326,33,5.086,0.967,35
execute (kill),7,5.606,2.933,33,1.485,1.131,33,3.97,2.855,33,5.235,1.592,34,5.118,1.605,34,4.559,1.913,34,5.235,1.165,34,5.382,1.476,34,5.677,1.077,34
faint (colllapse),5,4.882,1.982,34,2.941,1.027,34,3.121,1.365,33,4.818,1.466,33,5.636,1.494,33,5.559,1.718,34,3.939,1.127,33,3.849,1.158,33,2.853,0.912,34
faint (weak),5,3.765,2.101,34,3,1.309,35,2.424,1.415,33,3.743,1.338,35,4.333,1.82,33,5.323,1.574,31,4.229,1.311,35,2.471,1.334,34,3.177,0.857,34
fair (exhibition),4,5.324,1.996,34,6.086,1.025,35,5.235,1.554,34,5.294,1.34,34,5.273,1.78,33,4.765,1.681,34,3.857,1.376,35,4.324,1.744,34,3.375,1.083,32
fair (honest),4,4.606,1.906,33,7.735,1.171,34,6.235,1.535,34,2.758,1.457,33,3.061,1.434,33,6.177,0.89,34,3.353,0.936,34,4.647,1.185,34,2.677,0.865,34
fair (light),4,4.2,2.175,35,6,1.042,35,5.257,1.592,35,4.343,1.603,35,4.743,1.762,35,5.059,1.474,34,3.588,1.115,34,3.429,1.103,35,2.743,0.966,35
fair (weather),4,4.324,1.905,34,6.324,1.344,34,5.059,1.765,34,3.588,1.375,34,5.088,1.579,34,4.625,1.85,32,4.471,1.538,34,3.853,1.331,34,3.294,1.044,34
fall (drop),4,3.765,2.059,34,3.667,1.064,33,3.75,1.581,32,4.606,1.757,33,4.824,1.757,34,5.324,1.585,34,2.697,1.243,33,4,1.393,33,3.886,1.09,35
fall (season),4,4.125,1.965,32,6.063,1.391,32,4.742,1.163,31,5.25,1.458,32,5.719,1.231,32,4.719,2.05,32,5.032,1.534,31,4.469,1.639,32,3.636,0.846,33
fans (air),4,3.727,1.523,33,5.515,0.957,33,5.125,0.992,32,6.206,1.079,34,5.971,1.2,34,5.353,1.607,34,3.412,1.24,34,2.938,1.413,32,3.912,0.818,34
fans (sports),4,4.697,2.263,33,5.4,1.87,35,5.333,1.627,33,5.879,1.225,33,6.118,1.323,34,5.406,1.389,32,3.886,1.19,35,4.697,1.93,33,5.882,1.105,34
fare (charge),4,3.25,1.984,32,3.75,1.25,32,3.667,1.77,33,4.879,1.451,33,3.97,1.403,33,5.303,1.467,33,4.594,1.32,32,3.788,1.249,33,4.121,1.037,33
fare (food),4,4.423,1.905,26,5.807,1.09,31,5,1.259,29,5.519,1.258,27,5.071,1.387,28,2.912,2.035,34,5.069,1.388,29,3.929,1.307,28,3.5,0.957,30
fast (quick),4,6.091,2.109,33,6.273,1.355,33,6.156,1.734,32,3.515,1.559,33,4.727,1.693,33,6.485,1.019,33,2.121,0.729,33,3.871,1.641,31,4.844,1.034,32
fast (starve),4,3.571,2.142,35,3.121,1.737,33,4.485,2.204,33,4.636,1.806,33,3.086,1.68,35,4.8,1.894,35,4.912,1.292,34,3.971,1.689,34,3.382,1.085,34
father (dad),6,4.515,2.664,33,6.909,1.865,33,4.941,2.222,34,6.143,1.291,35,6.424,1.303,33,6.636,0.846,33,1.429,0.55,35,4.97,1.403,33,6.727,0.789,33
father (priest),6,2.882,1.859,34,4.743,1.662,35,3.5,2.145,34,5.618,1.284,34,5.971,1.558,35,5.324,1.827,34,3.824,1.465,34,3.677,1.64,34,6.529,0.696,34
feet (body),4,3.469,2.136,32,5.182,1.242,33,5.765,2.045,34,6.576,0.954,33,6.455,1.183,33,6.677,0.69,31,1.735,0.74,34,3.031,1.38,32,4.171,0.971,35
feet (length),4,3.471,1.46,34,5.177,0.452,34,4.882,1.43,34,5,1.572,34,4.824,1.599,34,5.094,1.487,32,4.441,1.31,34,3.5,1.77,34,4.735,1.038,34
fiddle (adjust),6,4.656,1.914,32,4.781,1.082,32,5.156,1.839,32,4.121,1.629,33,4.438,1.886,32,5.125,1.798,32,3.879,1.493,33,2.581,1.386,31,3.394,1.324,33
fiddle (violin),6,4.818,2.007,33,5.794,1.051,34,5.094,1.487,32,6.546,1.104,33,6.647,0.723,34,4.667,1.933,33,4.5,1.036,34,3.091,1.111,33,3.324,1.13,34
figure (body shape),6,5.677,2.285,34,5.606,1.536,33,4.618,2.029,34,5.229,1.587,35,6.029,0.985,34,6.25,1,32,4.8,1.45,35,4.353,1.21,34,2.061,1.043,33
figure (graph),6,2.677,1.843,34,4.714,1.343,35,4.412,1.784,34,5.152,1.351,33,5.441,1.612,34,5.273,1.503,33,5.314,1.214,35,3.177,1.543,34,4.886,1.141,35
figure (number),6,3.226,1.64,31,4.807,1.029,31,5,1.481,31,4.813,2.157,32,5.563,1.58,32,5.75,1.299,32,3.879,1.32,33,3.581,1.561,31,4.226,0.941,31
figure (reckon),6,3.455,1.971,33,5.091,1.311,33,5.6,1.727,35,2.706,1.486,34,2.514,1.663,35,4.771,1.806,35,5.371,0.929,35,3.912,1.011,34,4.2,0.95,35
